id,sentence
53,전 세일 찬스를 겪어본 적이 없네요
54,원목침대로 너무 사고싶었는데 안전한건 너무 비싸고 적당한건 낙상이 걱정이고 저 작은 침대에서 회전하는 하비니를 보며 아무래도 범퍼로 해야할 것 같아 샀네요
55,범퍼침대 진짜 사기 싫었는데 젠장 슬퍼요.
56,침대에 머리 뜯는 사이 장난감 도서관 반납 시간이 다가와서 하비니 두고 혼자 후다다닥 나갔어요
57,너무 날것의 모습으로 나왔네요
58,하나만 빌려가니 어머니 다른 것도 좀 보세요!
59,라시며...
60,추천템 하나 더 들고 나왔습니다
61,비가 꽤 내려서 빗속을 질주한 고니 .
62,집에 오니 하비니는 울고 있었고 남표니는 옆에서 곤히 자고 있었어요
63,하비니는 화가 많이 났는지 계속 고함을 쳤습니다
64,시끄러운 아기 불쌍한 개구리씨는 여기저기 부딪히고 먹히고 고생했어요
65,계속 큰소리 치던 아기 왜이러는지 왜자쿠만 이러는진 알 수 없어요
66,이모가 영통을 걸었네요
67,하비니는 화면 속 할미를 알아보는지
68,그렇게 화내다가 할미 얼굴과 목소리에 싱긋 싱긋 웃어서 너무 신기했어요
69,저녁은 삼겹살로 했습니다
70,상 차리는 사이 하비니는 아비와 애정행각 오랜만에 수영을 할 예정이기에 아비가 물을 받는 사이 점퍼루에서 잠시 놀아줍니다
73,2주 동안 매일 블로그에 일기쓰고 선물 받아가세요!
75,주말이 있는 이유는 건강을 챙기라는 것이니까.
76,한동안 멈춘 두피 마사지와 얼굴 마사지를 했죠.
77,두피를 마사지하면 온 전신이 다 아파.
78,"매일 밤 취침 전 5 10분만 투자하면 되는데, 왜 그게 안 되나 모르겠어."
79,매일 꾸준히 가 세상에서 제일 어려운 거야.
80,"두피 모발 건강 귀 건강은 물론 전신 건강을 책임지는 온병 마사지를 누워서 했더니 팔도 안 아프고, 머리의 무게가 있으므로 효과가 높더군요."
81,"그리고, 매화수병이 소주병을 제쳤죠."
82,이 훨씬 좋더군요.
83,"통증이 가시려면 일주일 동안 줄곧, 온병 마사지해야 할 것 같아."
84,53세 은하수의 눕샐카는 웃픔.
86,"지난번에 한번 포스트를 했지만, 2013년 방송에 소개된 방법과..."
88,"정육점으로 가던 길에서 본, 양파만큼 큰 메리골드에 깜놀했죠."
89,집에 돌아와 그저께 삽목한 해당화와 각종 꽃나무들을 비닐을 열어 확인했죠.
90,날씨가 받쳐주네
91,"오늘일기 일챌 에 빠질 수 없는, 텃밭과 꽃밭 나들이."
92,"매일 같은 꽃이지만 내 정성으로 키운 꽃은, 그 어떤 꽃보다 아름답고 예쁩니다."
93,"이름없는 들풀도 들에 있으면 그냥 풀, 내가 키우면 예쁜 꽃."
95,잎이 무지 큰데도 부드러워.
96,지난해 가을 김장 배추가 알배추로 등장했죠.
97,"작은 아들 상추가 맛있다는 생각을 못 했는데, 진짜 맛있네요."
98,"지난해 늦가을에 심은 것이니까, 귀하고 제일 맛있는 상추야."
99,상추를 시간차를 두고 심으니까 편하네.
100,채소의 향과 신선함을 되찾는 방법 아시죠?
101,50도시 물에 담근 후 찬물 샤워.
103,"연이은 봄비가 내린 탓에, 옮겨 심은 모종들이 씩씩하게 터를 잘 잡았죠."
104,올해는 꽈리고추를 처음 심어봤어요.
105,맛있는 꽈리고추 멸치볶음을 기대해봅니다
106,부추는 새우 넣고 전을 부쳐 먹어야지.
107,친정표 가지와 고추 모종은 벌써 꽃을 피웠죠.
109,"꽃밭의 꽃들을 둘러보던 중, 어머!"
110,세상에 백합 두 대가 꽃대를 물었어.
111,"꽃들도 피는 시기가 모두 다른데, 사람 또한 예외는 아닐 터."
112,열심히 살다 보면 언젠가는 꽃을 피우게 되겠지.
113,그날을 위해 열심히 살면 되는 거야.
114,"제일 먼저 피는 백합이 어떤 색일지, 새로운 관심사가 생겼죠."
116,이른 봄에 미리 잡초를 제거했어야 했어.
117,"하지만, 뜻밖의 연이은 비요일, 무늬만 화단인 풀밭의 풀을 뽑고, 화단으로 변신시키기 위해 꽃모종을 심었죠."
118,"할미꽃씨를 50도시 물에 담근 후, 모래와 섞어 파종을 했죠."
119,밴드 언니 할미꽃 파종을 하면 2년 후에 싹이 난대요.
120,그때까지 이곳에 살지 안 살지
121,"모르겠지만, 누군가는 보게 되겠지."
122,"올해, 새싹이 올라온다면 기적일 거야."
123,"꽃밴드에서 눈호강을 하다 보니, 꽃 욕심이 생겨 업무 외 시간 짬을 내, 꽃밭의 영역을 넓히고 있죠."
124,"할미꽃 파종을 마치고 나니, 비가 후드득 떨어지더군요."
125,"하여튼, 머피의 법칙에 걸리지 않는 방법은, 내 안의 소리에 귀를 기울여야 해."
127,"샐리의 법칙 우연히 유리한 일만 계속 생기고, 설사 나쁜 일이 있더..."
128,딱 마침맞게 비가 내리네.
129,"울 집 꽃밭의 철쭉은 이미 떨어진 상태지만, 아파트 화단에는 철쭉이 깔별로 한창 피었죠."
131,여보세요 택배회사 택배 주소가 잘못되어 다른 곳으로 왔어요.
132,"채소라고 적혀있는데 오늘 가려면, 퀵으로 보내야 하는데 어떻게 할까요?"
133,이 건은 저한테 물어볼 내용이 아닌 것 같아요..
134,택배회사 네.
135,나보고 퀵비를 지불하라는 거야?
136,고향표 상추 마늘쫑이 한 박스가 도착했죠.
137,얘를 뭘 만들어야 맛있게 먹을 수 있지?
138,블로그 내 검색을 했죠.
139,오호 멸치랑 어묵이 모두 있으니까 접수 완료!
141,내일 메뉴는 마늘쫑 양파덮밥이다!
143,"5월 제철음식 마늘쫑어묵볶음, 마늘쫑멸치볶음을 만들었어요."
144,"늘.쫑을 보내주셨는데, 지금까지..."
146,마늘을 수확했으니 사실 마늘쫑은 이미 제철을 훌쩍 지난...
149,내가 뭘 하겠다
150,라고 나발 불 듯 광고를 하고 시작하는 것의 의미는?
151,나와의 약속을 대중에게 알림으로써 반드시 약속을 지키겠다는 의지를 더 공고히 하는 효과가 있다고 하잖아요. .
152,오늘일기 첫날 어스름 마을 풍경 보름 동안의 약속을 지켜 일기를 습관화 해 보려고요.
153,매일 1포스팅이 생각 보다 힘 들더라고요.
154,하루도 빼지 않고 일기를 쓴다는 것이 쉽지 않은 일인데 작심 삼일의 일을 3일만에 한번씩 반복하면 3일도 힘들면 오늘 하루만 하고 버티는 것도 방법이 될까요?
155,오늘일기 첫날 앞집 지붕위로 보이는 회색하늘 전선생은 작년에 요리 블로그로 반드시 인플루언서가 되겠다 결심하고 작년 11월부터 겨울동안 거의 매일 밥상 위의 반찬 사진으로 요리 포스팅을 한 결과 드디어 인플루언서가 되었어요.
156,"셀프 인테리어 공사 중인 토담집에서 주방도 없이, 그릇도 없이, 제대로 된 요리사진 한장 없이 폰카로 요리 인플루언서 된 사람 저 빼고 또 있을까 싶네요."
157,"오늘일기 첫날 앞집 창고 지붕아래 매일 먹는 된장찌개, 청국장찌개, 김치찌개 등을 밥상에 올려 폰카 찍어 올렸네요."
158,그나마 겨울철 농사일이 없으니 방구석 구들장 아랫목에서 전선생이 할 수 있는 최선이었쥬?
159,추위 물러가고 따뜻한 봄날 되어 슬슬 바빠지기 시작하니 요즘은 쓸거리가 많아도 포스팅에 올릴 시간이 없어 건너 뛰기 일쑤에요.
160,오늘일기 첫날 비오는 아침 우리마을은 인터넷은 되는데 유플 인터넷은 아예 안되어요.
161,테더링 해서 쓰면 되지?
162,말은 쉽지만 데이터 때문에 안되는건 아닌데 속도 등 나이가 주는 여러 가지 기기 조작의 미숙함 등 아무튼 엘지 휴대폰 약정 끝나기만 기다리고 있어요.
163,로 갈아타려고 오늘일기 첫날 비오는 아침 물받이통이 필요해 오늘 새벽 날씨 매우 쌀쌀해요.
164,비도 주룩주룩 소리없이 내리고 있어요.
165,어제보다 무려 2도나 더 낮아요.
166,어제도 비온 후라 매우 쌀쌀했는데 오늘도 옷 따시게 입고 다녀야겠어요.
167,뭔 봄 날씨가 중간이 없네요.
168,해 뜨기 전엔 겨울 날씨 였다가 해뜨면 여름이다가 해 넘어가면 다시 겨울이 와요.
169,오늘일기 첫날 첫새벽 전선생 살고 있는 산골마을은 매우 추워서 겨울 털돕바 아직 입고 버티고 있어요.
170,지금 새벽 5시네요.
171,길고도 긴 겨울밤이더니 5시면 훤해져요.
172,자유로운 영혼 노마드 빼고 부지런한 사람은 하루 일을 벌써 시작하지요.
173,오늘일기 첫날 마당에 빗물이고이네 어제 저녁은 소비자분들께 택배로 옻순 보내고 남은 쇠고 질긴 옻순을 장아찌 담글 준비하느라 데치고 담가 울궈내고 헹구어 건져 가지런히 손질해놓고 간장 달여놓고 잤어요.
174,아침에 통에 담고 달인 간장을 붓기만 하면 되네요.
175,오늘 일기 첫날 빗물 따라 흐르는 송홧가루 6시반부터 시작되는 낭독 책읽기 들어가기 전에 일을 마무리 지어 놓았어요.
176,그래야 낭독 책읽기에 집중할 수 있겠쥬
177,전선생 좀 완벽주의 스타일이라 가능하면 매사 빈틈없이 일하려고 하는 바람에 늘 몸이 고달퍼유.
178,오늘일기 비오는 아침 옻순 장아찌 담그기 낭독 책읽기 마치고 전화 한통화 하다보니 어느새 비가 그쳤네요.
179,오늘 비 오고 난 후 공기 중 습도가 높으니 옻칠하면 좋겠어요.
180,황토벽에 풀칠 마치고 맨질맨질 잘 마무리 해서 며칠 말렸는데요.
181,고개 꺾어 천정보고 하는 젤 힘든 일은 이제 서까래 기둥에 옻칠하는 일 만 남았네요.
182,옻나무 키우며 옻으로 옻과 더불어 사는 전선생 이번 주 내내 옻순 따느라 바빴는데 이제 천정 서까래 옻칠까지 합니다.
183,오늘일기 첫날 옻순의 후유증 옻진은 생각보다 독성이 강해서 옻을 안타는 전선생도 옻순 작업하며 옻생진 묻은 곳은 살살 가려워요.
184,손목도 가렵고 세수하며 연약한 눈두덩 피부에 자극이갔는지 완쪽눈 피부가 살짝 가렵네요.
185,다른사람이 이 정도 옻에 노출 되었으면 전신이 붓고 빨개지고 가렵고 난리도 아닐텐데 전선생을 옻을 안타니 그나마 다행이지요.
186,다행스러운 기운받아 오늘도 보람찬 하루 노동을 시작하려 해요.
187,하루하루 예쁘게 다듬어지는 토담집 방을 보며 얼른 공방완성에 박차를 가하는 전선생 미래 희망을 그려봅니다.
188,앞으로 남은 생은 미니멀리즘 심플라이프를 추구하는 전선생이에요.
189,"가능한 새로 사는것 없이 가능한 있는것 재활용으로, 남는건 필요한 사람에게 주고 나누고 살고 싶네요."
190,미처 정리 되지 못한 창고와 구석구석 여기저기 늘어진 살림살이들이 눈을 어지럽히고 정신을 혼란스럽게 해요.
191,얼른 정리 해야죠.
192,하나씩 공간을 만들어 제자리 찾아 정리 해가며 용도에 맞는 공간을 창출해가며 일상을 채워가요.
193,뭐 이리 가지가지 할일이 끊이지 않는지 맥가이버처럼 만능팔!
194,외치면 쑥쑥 나와 해결되면 정말 좋겠어요.
195,오늘 아침은 일이 한가지 줄었어요.
196,꽃밭에 물주지 않아도 되네요.
197,하늘이 대신 해결 해 주네요.
198,비온 후 개인 날씨이지만 쌀쌀하고 흐릿해요.
199,비 온 후 맑은 공기가 너무 좋은 상큼한 아침이에요.
201,이웃님들도 맑은 기운으로 행복한 하루 시작하세요.
203,"네이버 블로그는 맞지만, 확인불가"
206,"글자 수에 제한도 없고 이미지에 제한도 없고, 그저 꾸준히 해시태그와 함께 글만 쓰라하니 말이다."
207,나도 도전해 본다.
209,두께가 얇고 마치 블로그나 브런치스타일로 줄바꿈과 문단이 구성되어 있던 책이었기에 읽기에 편했다.
210,아니 읽기 쉬웠다고 하는 것이 맞겠다.
211,기억에 남는 구절들을 후기를 쓰려 사진에 담았는데 그 중 인상깊었던 구절 중 한가지를 소개해 보자면 책을 읽겠다는 중압감 대신 한 권의 책에서 한 문장만 찾으면 된다는 글이었다.
212,"요즘 업무에서 여러 사람에게 전하는 메시지 작성에 대한 업무가 많다보니 무언가 더 그럴싸한 글, 있어보이는 말을 만든다고 말도 안되는 책을 읽느라 지루할 때도 있었는데 그 중압감 대신 한 문장이라도 찾으면 다행이라는 자세로 책을 대해봐야겠다."
213,점심에는 외식을 했다.
214,"엄마아빠와 중화요리 전문점에서 짜장면과 짬뽕, 칠리새우와 딤섬을 먹고 소화도 시킬 겸 이마트로 향했다."
215,이마트에 가게된 이유는 카드사에서 준 모바일 상품권을 실물 상품권으로 교환하기 위함이었다.
216,마트는 언제나 개미지옥이기에 상품권만 바꿔오지 못하고 가볍게 쇼핑을 즐겼다.
217,엄마는 냉장고의 물병이 작다며 느닷없이 2리터나 되는 물병을 집어드셨고 그 옆에 자리하던 스파게티 보관통도 저렴하니 두개 사야겠다고 집어드셨다.
218,갑자기 내 가방에는 통 3개가 자리잡고 있었다.
219,비가 올 것 같아 더이상 무거운 것을 사기는 애매하니 어린이날에 다시 와보자는 말과 함께 엄마와 나는 커피 하나씩을 집어 들었다.
220,이마트다보니 노브랜드 상품이 있어 처음으로 노브랜드의 커피를 마셔보았다.
221,카라멜 마끼아또였는데 적당한 단맛에 꽤 마실만 하였다.
222,그 옆의 스타벅스의 반 정도의 가격이었지만 퀄리티가 절반 수준은 아니었기에 성공했다라고 할만 했다.
223,집으로 돌아오는 길에 엄마가 네잎클로버를 발견하였다.
224,집 주변 공원에 워낙 세잎클로버가 많아 어딘가에 네잎클로버도 하나 있겠지 싶었는데 이렇게 쉽게 발견할 줄이야.
225,거기다가 유독 큰 아이가 네잎클로버였기에 잘 말려보려 책상 위의 노트 사이에 꽂아보았다.
227,참 네이버가 블로그를 다시 살려보려 조건없이 캐시를 뿌리는 이벤트도 다 하는구나 싶다.
228,예상보다 카카오의 브런치가 선전하며 나도 살짝 브런치를 고민하기 시작했는데 타이밍 좋은 이벤트에 다시 발목 잡히는 기분이다.
229,여기다 쌓아놓은 내 추억이 한 순간 증발하지 않게.
231,2주 동안 매일 블로그에 일기쓰고 선물 받아가세요!
234,"16,000원 때문에 쓰는 것은 아니고 이번 기회에 블로그도 매일 들어오고자 하는 다짐도 해보며 소소하게 하고 싶은 이야기가 있지만 글로 쓰기 그랬던 것들을 끄적거려보려 한다."
235,사실 오늘일기는 오늘 일이 아니다.
236,며칠 전 강화에서 있었던 일인데 오늘 주차위반 딱지가 날아와서 그날 있었던 일을 적어본다.
237,돌이켜보니 참 되는 일이 없었던 날인 것 같다.
238,동생들이랑 신도림에서 만나 강화도를 가려고 했다.
239,멀리서 오는 동생이 일정을 다 짜왔다.
240,허영만의 백반기행에 나왔던 강화집도 들르자고 해서 내가 밥부터 먹으면 어떠냐고 하면서 순서를 바꿨다.
241,마침 다들 아침을 먹지 않은 터라 그러자고 했다.
242,가게 앞에 도착해보니 주차할 곳이 없었다.
243,그래서 가게에 전화해서 주차할 수 있는 곳을 물어봤더니 건물 뒤쪽에 유료 주차장이 있다고 알려주셨다.
244,뒤로 가봤는데도 유료 주차장은 못 찾아 주택가로 들어가서 주차를 했다.
245,어떤 차도 주차해 있었고 카메라는 없는 주택가라 안심하고 주차를 하고 식사를 하러 갔다.
246,카메라 보지 못했음 새벽 3시에 문을 열고 오후 2시까지만 한다는 이곳.
247,가서 보니 가격도 무척 착했다.
248,근데 좀 지저분한 건 사실 만 원도 안 되는 금액에 반찬이 이만큼이나 나왔다.
249,레트로한 오봉에 반찬을 담아주니 우린 또 좋다고 호들갑을 떨었다.
250,반찬이 맛있어서 역시 백반기행에 나올만하구나 싶기도 했다.
251,배는 불렀지만 밥 한 그릇을 다 비웠다.
252,왠지 남기면 안 될 것 같은??
253,동생은 곰국을 주문했는데 깔끔하다고 국물까지 싹 먹었다.
254,고 노래를 부르면서 만족해하는 얼굴로 나왔다.
255,우리의 첫 목적지였던 교동 풍물시장을 갔다.
256,어찌나 복잡한지 난리도 이런 난리도 없었다.
257,차가 한 대씩 들어가고 있는 상황에 내 뒤에 있던 차량이 들이밀고 들어와 내 백미러를 건드렸다.
258,어머 어머 미쳤어
259,내가 한 말이 블랙박스에 들렸음 창문을 여니..
260,상대 쪽에서 나한테 오히려 내가 먼저 끼어들어서 이렇게 했다고 하면서 차 안에서 노부부가 소리소리 질러댔다.
261,지나갈 수 있는 상황도 아닌데 내 앞으로 가시려고 해서 백미러를 접어드렸다.
262,절대 빠져나갈 상황이 아니어서 다시 내가 지나갔다.
263,이때까지도 내 차가 긁힌 줄도 몰랐다.
264,그분도 모르셨던 듯 시장에 주차하려고 하는데 주차공간은 없어서 한 바퀴를 돌고 있는데 그 차가 계속 쫓아왔다.
265,"저, 아저씨 보복하고 싶으신 모양이다 ."
266,주차 자리가 남아서 뒤에 따라오는 아저씨 대라고 양보하고 나는 지나쳐서 왔는데도 주차 안 하고 나를 따라왔다.
267,나는 다른 곳에 주차를 했고 주차를 하고 내 차를 보니 기암을 했다.
268,이렇게 긁힌 줄 모르고 슬퍼요. .
269,씩씩대고 있는데 상대방 노부부가 오더니...
270,아줌마가 끼워 들어서 이렇게 된 거니 너 잘못이라는 투로 막말을 하신다.
271,아무리 끼어들었더라도 차가 반 이상 앞에 있는 차량을 긁고 지나가셨어야 했냐
272,라며 나도 대들고 옆에 있던 동생도 대들었다.
273,우리가 놀래서 도망이라도 갈 줄 알았는지 너희 몇 살이냐?
274,부터 시작해서 말도 안 되는 말로 큰소리를 쳐 댔다.
275,그 소리에도 우리가 꿈쩍을 안 하고 당당하게 대응하니 오히려 무척 당황을 하신 모습이었다.
276,아저씨는 몸을 떠셨다.
277,나이 드시면 운전 감각도 둔해져서 사고가 난다고 해서 참았는데 미안하다는 말도 없으심 실랑이를 해봤자 말도 통하지 않고 해결이 되지 않을듯해서 경찰도 부르고 보험회사에 연락해서 처리했다.
278,쌍방 과실이지만 내 차가 앞에 있어서 상대방이 더 손해를 보게 됐다는 결론.
279,어쨌거나 보험처리로 차를 수리해고 싹 잊었는데 오늘 또 강화도에서 주차 위반을 했다는 딱지가 날아왔다.
280,아놔 카메라 없었는데..
281,베스킨라빈스 앞이라니..
282,나 유료 주차하는 거 아까워하는 사람 절대 아닌데 이날따라 밥 먹는거에 뭐 그리 급했던지..
283,암튼 6000원짜리 밥 먹고 32000원 딱지 내야 하는 건 넘 억울하다.
284,네이버 오늘일기 쓰고 16000원이라도 벌어야겠다.
285,그리고 다음부터는 유료주차장에 꼭 넣어야겠다.
287,"매일 일기라니, 흠 저는 예전에는 에버노트에 매일 일기와 기록을 디테일하게 남겼었는데, 요즘 조금 뜸했어요."
288,다이어리에 일정이나 할 일만 기록할 뿐!
289,에 끄적 끄적 기록을 남겨보려고 합니다.
291,오늘은 시작하는 마음으로 하루 브리핑 정도로 끝낼게요!
292,헤헷 간만에 시간에 쫓기지 않는 토요일이라 자유를 만끽 ?
293,"오전 내내 흐렸지만, 우산 하나 챙겨들고 광교 호수공원도 걷고, 갤러리아 광교도 잠깐 돌아다니다가, 롯데아울렛 어반테라스에서 점심도 먹었어요."
294,어반테라스 미몽집 메뉴 바뀌었어요!!!
295,"집에 와서는 주말 청소도 하고요, 물건들이 제자리 제자리를 찾고, 먼지도 치워주고, 식물에 물도 주고요!"
296,그리고 넷플릭스 괴물 을 보고 있어요.
297,신하균 연기 매력 어쩜...
298,전 스릴러 많이 읽고 보기 때문에 ?
299,"웬만한 추리로 범인 바로 알아채는 편인데, 괴물 첫 범인은 금방 알아챘고요, 두 번째 범인은 여럿이라 살짝 느렸지만 대충 눈치 챘습니다"
300,범인 잡는 게 주가 아니고 풀어내는 이야기가 재밌는 듯 해요!
301,"참, 매거진 교직원 공제회 매거진 에 조지아 한 달 살기 원고 썼어요."
302,5월호에 실려서 오늘 배송 받았지요!
303,이건 나중에 자세히 포스팅해서 소개할게요.
305,"모두 즐거운 토요일 밤, 편안한 밤 되셔요"
307,단 한 줄을 쓰더라도 매일 매일이 포인트!
309,오늘 의 오늘은 새벽5시 30분 기상해서 아침긍정확인과 명상으로 하루를 시작합니다
310,아이비가 이쁘게 잘 자라주고 있네요
311,긍정확언을 매일 매일 빼놓지않고 시작한지 4개월이 되었습니다.
312,매일 아침 나를 바로 세워주는 긍정 확언의 힘....
313,그리고 오늘은 켈파100 독서모임이 있는 날입니다.
314,켈리최 회장님 추천도서 100권을 1년동안 읽어나가는 모임인데요..
315,벌써 3개월째 함께 팀웍을 이루며 잘 하고 있습니다.
316,다만 일주일에 책을 두권씩 읽는 다는 것이 슬퍼요.
317,점점 쌓여가는 빚쟁이마냥 책이 밀려갑니다..
318,책 두께 보이시죠???
319,그냥 일반적인 두께의 책도 있지만....
320,가끔 저런 복병이 툭튀 슬퍼요.
321,팔운동하기 딱 좋은 사이즈입니다.
322,다들 쏟아지는 책의 부담감을 해소하고자 요즘은 협독해서 읽고 있어요
323,각자 파트를 맡아서 맡은 부분은 요약 정리해서 발표하는 형식으로 함께 한 시간이 길어질수록....
324,서로에 대한 마음이 깊어감이 느껴집니다.
325,우리의 목표는 1년동안 100권을 읽고 파리로 날아가 켈리최 회장님을 만나는 것입니다.
326,생각만해도 가슴 벅차오르네요
327,그리고 오늘 중요한 또하나의 일정은 얼마전 진행했던 인스타 500명 팔로우 이벤트 당첨자 발표 !!
328,. 사실 전 인스타 팔로우 늘리려고 많은 노력을 하진않았거든요...
329,지금 계정도 인증을 위해 만든 계정인데...
330,오히려 본계정보다 더 커졌지 뭡니까
332,꾸준히 피드를 올리고 찐 소통을 했던것 그게 주요 요인듯합니다.
333,켈리스와 활동을 하다보니 자연스레 자기계발에 열심히신 분들을 알게되고 그분들과 소통을 하다보니 늘 작심삼일이었던 저의 일상에도 변화가 찾아오고 하나씩 알아가는 즐거움에 요즘은 하루하루가 즐겁습니다.
334,1년뒤에 저의 모습이...
336,꾸준함이 답임을 알기에.....
337,이번엔 제대로 실천해보려고 합니다.
338,때마침 네이버에서 치킨값도 준다고하니 얼마나 꿀입니꽈 !!
339,님도보고 뽕도따고 도랑치고 가재잡고 이제 일기 마무리하고 다시 책 읽으러 가야합니다.
340,오늘은 부부독모도 있는 날이거든요.
341,책과 함꼐 성장하는 오늘 입니다.
342,읽어봐주셔서 감사합니다
345,정확히는 나를 챙겨주는 언니의 고마운 선물 이라고 해야할까 나는 우리집의 장녀이다
346,그런데도 어떠한 수식어를 붙이지 않고 언니 라고 부르는 두 명의 천사가 있다 그 중에 한 명인 이 언니는 내게 두 달에 한 번 이렇게 묵상책을 보내준다
347,코로나로 인해 교회에서 예배드리지 못하게 된 것이 벌써 일년이 넘었고 아마도 그 무렵부터 언니는 내게 묵상책을 보내주었던 것 같다
348,나의 묵상책은 두 달치가 묶여 있는데 한 달씩 나뉘는 일반 묵상책이었더라면 언니가 더욱 고생을 했을 것이다
349,아니면 이런 수고로움을 하지 않았을지도 모르겠다
350,그냥 보내주는 법 없이 늘 이런 선물들을 하나씩 보내준다
351,이것은 고급스러운 가죽그립톡 손수 만들어서 보내준 것이다
