en_sentence,ko_sentence,emotion
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,나는 완전히 압도당하고 있다고 느낀다. 나는 신에게 보내는 편지의 형태로 내 일기에 내 마음을 쏟아 붓고 나서 내가 가장 감사하는 다섯 가지 리스트로 끝내는 것을 돕는 두 가지 전략을 가지고 있다.,fear
i have the feeling she was amused and delighted,나는 그녀가 즐거워하고 기뻐했다는 느낌이 든다.,joy
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,나는 당신의 지지와 격려로 생명줄을 도울 수 있었고 나는 당신이 나를 도울 수 있어서 매우 기쁘다.,joy
i already feel like i fucked up though because i dont usually eat at all in the morning,나는 아침에 거의 먹지 않기 때문에 이미 내가 망친 것처럼 느낀다.,anger
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,"나는 여전히 나를 사랑하고 그를 위해 최선을 다하기를 바란다. 나는 더 이상 bm이 우리의 삶에 미치는 영향을 참을 수 없고, 그것이 나를 스트레스를 느낄 때 항상 주변 사람들에게 친절하지 않은 쓰라린 화난 사람으로 만들었다.",sadness
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,나는 다른 누군가의 사진에 그림을 그리는 것처럼 다른 누군가의 부엌에서 너무 억압을 느낀다.,sadness
i become overwhelmed and feel defeated,나는 압도당하고 패배감을 느낀다.,sadness
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,나는 그녀가 그녀의 신체 측정 등에 대해 넓고 길게 설명할 필요가 있다고 느끼는 것에 약간 섬뜩함을 느낀다.,anger
i feel more superior dead chicken or grieving child,나는 죽은 닭이나 비탄에 잠긴 아이가 더 우월하다고 느낀다.,joy
i get giddy over feeling elegant in a perfectly fitted pencil skirt,나는 완벽하게 맞는 펜슬 스커트를 입고 우아함을 느끼면 현기증이 난다.,joy
i remember feeling acutely distressed for a few days,나는 며칠 동안 극심한 고통을 느꼈던 것을 기억한다.,fear
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,나는 지난 며칠 동안 듣고 읽은 것을 보고 몇 개 이상의 회사에 감명을 받았다.,surprise
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,나는 내가 이 코스를 위해 거의 완전히 잘못 걸었고 나를 방해한 적이 없는 요소가 그날 그렇게 움푹 들어간 것에 좌절감을 느끼며 언덕에 올랐다.,anger
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,나는 내가 가깝고 장기적인 신체 접촉을 하는 것이 도덕적으로 받아들여지고 안전하다고 느낄 만큼 누군가와 감정적으로 연결될 수 있는 실제 삶의 시나리오를 상상할 수 있다.,joy
i am not sure what would make me feel content if anything,나는 무엇이 나를 만족스럽게 할지 모르겠다.,joy
i have been feeling the need to be creative,나는 창의적일 필요성을 느껴왔다.,joy
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,하지만 나는 네가 만약 누군가가 너를 덜 느끼게 하는 무언가가 있다면 그것들로부터 너의 훌륭한 자아가 떨어져 있다는 것을 알았으면 좋겠어.,joy
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,나는 나이든 신사분에게 선물을 달라고 편지를 쓰는 것이 약간 무례하다고 느낀다 왜냐하면 나는 약간 욕심이 느껴지기 때문이다. 하지만 가벼운 욕심이 아니라면 크리스마스는 무엇에 관한 것인가.,anger
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,나는 네가 필요해 나는 보호받아야 하고 안전하다고 느껴야 하는 누군가가 필요해 나는 이제 작아졌어 나는 말이 없는 계절에 내 자신을 발견했어.,joy
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,나는 모험과 손으로 만든 창작물을 여행하는 나의 일상 이야기를 너와 공유할 계획이고 너도 영감을 느끼길 바란다.,joy
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,나는 이미 크리스마스 트리를 두 그루 가지고 있고 축제 기분을 느끼고 있어서 이 책을 시작하도록 확실히 자극하고 있다.,joy
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,나는 작은 컨실러로 그것을 한 번 스스로 착용했고 며칠 동안 나는 용감함을 느꼈지만 창백해지고 싶지 않아. 그러면 완벽해.,joy
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,나는 어떤 얼간이가 우리를 찌르고 놀리기로 결정했을 때 매우 강한 열정을 느낀다.,joy
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,나는 너무 낙담해서 우리가 이미 올해 우리의 소를 얻기 위해 폴에게 돈을 지불하기 위해 피터를 강탈하고 있었지만 우리는 소를 이런 식으로 데려가지 않을 여유가 없다.,sadness
i was feeling listless from the need of new things something different,나는 뭔가 다른 새로운 것에 대한 필요 때문에 무기력함을 느꼈다.,sadness
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,나는 특별한 정신을 잃었지만 걱정하지 마 나는 여전히 제정신이야 나는 단지 네가 이 책을 읽는 동안 내가 느낀 것을 느끼기를 원했을 뿐이야 나는 샘이 특별하다고 몇 번이나 말했는지 모르지만 내가 그 단락에서 사용한 것보다 훨씬 더 많이 그녀가 특별하다고 말한 것을 장담할 수 있어.,joy
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,나는 나의 첫 번째 집에서 여기 받아들여지고 싶다는 슬픈 감정을 버릴 수 없다.,love
on a boat trip to denmark,덴마크로 배를 타고 여행을 가서.,joy
i stopped feeling cold and began feeling hot,나는 추위를 멈추고 더위를 느끼기 시작했다.,anger
i need to feel the dough to make sure its just perfect,나는 반죽을 느껴야 완벽함을 확인할 수 있다.,joy
i found myself feeling a little discouraged that morning,나는 그날 아침에 약간 낙담하는 내 자신을 발견했다.,sadness
i feel selfish and spoiled,나는 이기적이고 버릇없다고 느낀다.,anger
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,의도하지 않은 이야기를 가지고 어딘가로 갈 수 있을지 확신이 서지 않아 글을 쓸 때 조금 답답했다.,fear
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,나는 지금 멋진 루폴에서 좋은 느낌으로 우는 카프 룩을 가지고 있다. 스킨 가위 자매 발렌타인 태양은 너의 아버지가 불친절한 너를 깨우신 케이를 지겨워했다.,joy
i feel you know basically like a fake in the realm of science fiction,나는 네가 기본적으로 공상과학 소설의 영역에서 가짜처럼 알고 있다고 느낀다.,sadness
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,나는 아빠 지붕 밑에서 사는 것이 싫다. 왜냐하면 그것은 그가 나에게 나쁜 사람이 될 구실을 주기 때문이다. 왜냐하면 그는 내가 여기서 살 수 있도록 나를 최대한 환영받지 못한다고 느끼게 해야 한다고 생각하기 때문이다. 그래서 나는 떠날 것이다.,sadness
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,나는 그의 지지와 새로운 상황에 대한 그의 여유에 계속해서 기분 좋게 놀라고 있다.,surprise
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,"나는 만약 내가 다가오는 시기에 더 이상 활발한 성적 활동을 한다면, 응, 나는 나의 일부가 떨어지기 시작할 것이라고 잘못 생각했다.",joy
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,나는 내가 나 자신을 키우고 치유할 시간을 빼앗을 때 엄마의 우아하고 따뜻한 사랑스런 미소를 느낀다. 미소를 느낀다.,joy
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,나는 그들이 말하는 것을 보면 처남이 그렇게 딱딱하다고 생각할 사람이 없었던 것이 매우 인기가 있다고 느낀다.,joy
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,나는 거의 세포 수준에서 치유가 일어나는 것을 느끼는 것처럼 온화한 찌릿찌릿함을 느낄 수 있었다.,love
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,나는 우리가 소녀들을 회춘시키거나 엉덩이를 이식하는 추세에 따라 젊고 아름다운 날씬해지도록 압력을 받는다고 느낀다.,fear
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,나는 사람들을 움직이고 소리와 진동을 나타내는 환각에 의해 고문을 느끼면서 일주일에 몇 번 그것들을 갖기 시작했다.,fear
i am now nearly finished the week detox and i feel amazing,나는 이제 거의 한 주를 마치고 디톡스를 하고 나는 놀랍다고 느낀다.,surprise
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,나는 내가 어떻게 다른 사람들을 위한 기도를 요청하지 않았는지 이전 게시물들을 읽으면서 이기적이라고 느낀다. 나는 어떻게 내가 내 것보다 먼저 대답할 자격이 있는 다른 사람들이 있을 수 있다는 것을 전혀 생각하지 않았다.,anger
i know the pain parents feel when an enraged child becomes violent,나는 분노한 아이가 폭력적이 되었을 때 부모님이 느끼는 고통을 안다.,anger
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,나는 무언가 불쾌한 것이 다가오고 있다는 이 추정된 감정들에 대해 롤러코스터를 탔다.,sadness
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,나는 내 자신의 진실이 공유되어야 한다고 생각한다. 나는 최근에 내가 믿는 것보다 의심과 불확실성에 더 많이 살고 있다.,love
i was feeling brave when i bought it and clearly when i was doing my makeup,나는 그것을 샀을 때 그리고 분명히 화장을 할 때 용감함을 느꼈다.,joy
i am feeling miserable but c i am also the proudest mum on earth,나는 비참한 기분이 들지만 나는 또한 세상에서 가장 자랑스러운 엄마이다.,sadness
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,나는 우리 가족이 무슨 일이 있어도 우리를 사랑한다고 생각하지만 다른 사람들 주변에서 미셸이 무례하게 굴면 당황스러워.,sadness
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,나는 F 폭탄과 섹스가 모든 이야기에서 꼭 필요하다고 생각하지 않지만 인쇄된 저널에서 그것들을 볼 때 나는 안심한다.,joy
i can feel my ovaries aching talking to me as i like to put it,나는 내가 그것을 말하는 것을 좋아하는 것처럼 내 난소가 아픈 것을 느낄 수 있다.,sadness
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,나는 크리스를 많이 하고 싶지 않았고 대부분 중요하지 않은 것들을 너무 많이 찍었다.,sadness
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,나는 그 책에 싫증이 났고 여기서 그것을 꺼낼 준비가 되었고 내가 부적절한 이미지를 받았다는 것을 알게 되었고 그리고 나서 그 결과에 대해 비난받는 것을 느꼈다.,sadness
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,나는 mxm 캔버스를 성공적으로 펼 수 있었다. 나는 이것이 나를 위한 그 자체로 성취라고 느끼고 내 돈과 시간을 가치 있게 사용했다. 나는 캔버스를 미래의 브리핑을 위해 사용할 것이다.,joy
i think feelings are one of nay the most important things we have,나는 감정이 우리가 가진 가장 중요한 것 중 하나라고 생각한다.,joy
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,나는 이 젊고 재능 있는 완전히 살아있는 아름다운 여자에게 영향을 준 것을 완전히 영광스럽게 생각한다.,joy
i feel angered and firey,나는 화가 나고 불타오르는 기분이다.,anger
i feel like a miserable piece of garbage,나는 비참한 쓰레기 조각처럼 느껴진다.,sadness
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,나는 내가 아무것도 놓치지 않기 위해 목록을 만들어야 한다고 생각한다.,anger
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,나는 학교까지 단니카를 운전해서 갔다. 나는 약간 서두르는 것을 느꼈고 이것이 내가 모퉁이를 돌 때 나를 맞이했던 것이다.,anger
i remember feeling so hellip furious with the shooter,나는 저격수에게 지옥 같은 분노를 느꼈던 것을 기억한다.,anger
i feel very happy and excited since i learned so many things,나는 많은 것을 배웠기 때문에 매우 기쁘고 흥분된다.,joy
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,나는 쇼나 쇼 주변에서 사람들이 믿고 긴장을 푼다고 느낀다. 왜냐하면 대부분의 쇼 말들은 안전하고 조용하며 자주 다루어지기 때문이다.,joy
i only have a couple of things left to make and at the start of december i am done and feeling smug,나는 만들 것이 몇 가지밖에 남지 않았고 12월 초에 나는 끝났고 자만심을 느낀다.,joy
i think about how u could make me feel and realize that everything will be ok,나는 네가 어떻게 나를 느끼게 하고 모든 것이 잘 될 것이라는 것을 깨닫게 할 수 있는지 생각해.,joy
i feel so worthless during those times i was struggling finding work,나는 그 시간 동안 일을 찾느라 고생하고 있었기 때문에 너무 쓸모없다고 느낀다.,sadness
i will be able to lay on my bed in the dark and not feel terrified at least for a while,나는 어둠 속에서 침대에 누워서 적어도 한동안은 공포를 느끼지 않을 수 있을 것이다.,fear
i was ready to meet mom in the airport and feel her ever supportive arms around me,나는 공항에서 엄마를 만날 준비가 되어 있었고 그녀의 항상 응원하는 팔을 내 주위에 느낄 준비가 되어 있었다.,love
im feeling bitter today my mood has been strange the entire day so i guess its that,나는 오늘 기분이 씁쓸해. 내 기분이 하루 종일 이상했어. 그래서 그런 것 같아.,anger
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,"나의 엄마 오빠는 교통사고를 당한 후 세상을 떠났을 때, 그는 나에게 선물을 가져다주고 있었다. 내가 5개의 시험을 멋지게 통과했기 때문이다.",sadness
i am letting go of the animosity that is towards anyone that i feel has wronged me,나는 내가 나에게 잘못했다고 느끼는 누구에게 대한 적대감을 떨쳐버리고 있다.,anger
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,나는 그들이 단어를 이해할 수 없다고 느끼기 때문에 개들과 이야기하지만 그들은 감정을 읽을 수 있고 어떻게 힘이 되는지 알 수 있다. 나는 집에 가야겠다고 결심했다.,love
i feel like throwing away the shitty piece of shit paper,나는 그 빌어먹을 종이 조각을 버리고 싶다.,sadness
im starting to feel wryly amused at the banal comedy of errors my life is turning into,나는 내 삶이 오류들로 변하고 있는 진부한 코미디에 씁쓸하게 즐거워지기 시작했다.,joy
i find every body beautiful and only want people to feel vital in their bodies,나는 모든 사람이 아름답다고 생각하고 오직 사람들이 그들의 몸에서 활력을 느끼기를 바란다.,joy
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,나는 협회 변호사나 재산 관리인에게 피해를 느끼는 소유주들이라고 들었다.,sadness
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,나는 가족들에게 작별을 고한다. 그들은 모두 울며 슬퍼하고 나는 무정한 년처럼 느껴진다. 왜냐하면 그들은 처음으로 비행기를 타는 것이 꽤 신나고 너도 다른 나라에서 1년을 보내는 것을 알기 때문이다.,anger
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,나는 아이가 어렸을 때 그녀와 릴리를 사랑하는 것이 그 짧은 몇 달 동안만 지속되는 기회가 될 것이라고 느끼기 때문에 그것을 외치게 하지 않을 것이다.,love
i alba i feel good and im fitting in,나는 기분이 좋고 적응이 잘 된다.,joy
i feel excited about what im doing again i feel like i have a ton of catching up to do,나는 내가 다시 하는 것에 대해 흥분된다. 나는 내가 따라잡아야 할 것이 많은 것 같다.,joy
i also know how good it feels to look back and see that i honored my word and that helps from the start,나는 또한 내가 약속을 지켰고 그것이 처음부터 도움이 된다는 것을 돌아보고 보는 것이 얼마나 기분이 좋은지 안다.,joy
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,"내 말은 우슈에서 그렇게 높은 기술력을 얻기 위해 정말 열심히 일하는 것은 부끄럽지만, 내가 피곤함에도 불구하고 진심으로 우슈 공연을 하는 아이들을 보았을 때 왠지 모르게 동기부여가 된다는 것이다.",sadness
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,이 토너 몇 잔이 나를 진정시키고 진정시키는 데 정말 도움이 되는 것 같아.,joy
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,나는 네가 어떻게 한 사람이 그들 자신이나 그들의 상황에 대해 더 좋게 느끼도록 만드는 작은 노력이 필요한지 깨닫기를 바란다. 내가 가족 구성원인지 고등학교 친구인지 거리의 이웃인지 아니면 심지어 완전히 낯선 사람인지.,joy
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,나는 오늘 너무 축제 기분이 들어서 이것을 하고 대관식 거리에서 벌어지는 몇 주를 따라잡는 즉시 나무를 올릴 것이다.,joy
finding out that i am not ill not seriously,내가 심각하게 아프지 않다는 것을 알게 되는 것.,joy
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,나는 수업시간에 잘했지만 남자로서 성공하지 못했다는 느낌의 조합과 나의 끔찍한 한 주는 내가 고군분투한 후에 거의 울 뻔한 결과를 낳았다.,sadness
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,"나는 그것이 가치 있는 명분을 거의 발전시키지 않는다고 느끼며, 나는 항상 내가 누군가의 얼굴에 말할 준비가 되지 않은 것을 온라인에 올리지 않는 규칙을 고수한다.",joy
i am feeling all useful,나는 매우 유용하다고 느낀다.,joy
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,저는 여러분 중 일부가 고통을 겪고 있다고 느끼며 여러분은 고통을 유발하는 그룹이나 아이디어에 대해 열정적으로 되는 것을 상상할 수 없습니다.,love
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,"나는 못생겼다고 느껴. 나는 여전히 내 자존감을 조금이라도 높이기 위해 집 주변에서 힐을 신고 다닐지 모르지만, 나는 분명히 새 것을 사려고 하지 않을 것이다.",sadness
im not feeling homesick yet so im feeling alright about this,나는 아직 향수병을 느끼지 않아 그래서 나는 이것에 대해 괜찮아.,sadness
i dance i should feel pretty,나는 춤춘다 나는 이쁘게 느껴져야 한다.,joy
i workout every morning before and feel fabulous for it,나는 전에 매일 아침 운동하고 그것이 환상적이라고 느낀다.,joy
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,나는 이 모든 것을 그녀의 손길이나 말이 아닌 그녀의 눈으로만 느낄 수 있지만 그녀의 눈으로 나는 확실히 이 사랑을 돌려줄 수 있고 그것이 헛되지 않을 것이라는 것을 안다.,sadness
i was feeling fabulous until friday morning when i started to get these awful cramps at work,나는 내가 직장에서 이 끔찍한 쥐가 나기 시작했을 때 금요일 아침까지 환상적이었다.,joy
i feel honoured to have been able to call them friends to share their brotherhood,나는 그들의 형제애를 나누기 위해 그들을 친구라고 부를 수 있었다는 것을 영광스럽게 생각한다.,joy
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,나는 두껍고 검은 비구름이 마을 위 하늘로 쳐들었을 때 불안감을 느끼기 시작했다.,fear
i had stated to her the reason i feel so fearful is because i feel unsafe,내가 그녀에게 내가 그렇게 두려워하는 이유는 내가 안전하지 않다고 느끼기 때문이다.,fear
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,아직 tsa에 흔들리고 싶지 않아서 점심식사를 위해 크리에이티브 크루아상에서 옆으로 물러났다.,fear
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,나는 그룹에 들어간다. 나는 너무 수다스럽거나 정말 조용해짐으로써 정말 어색하고 과잉보상을 느낀다.,sadness
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,"나는 마침내 나와 항상 함께할 그 동반자를 만날 수 있어서 매우 흥분된다. 특히 내가 외로울 때, 나를 실망시키지 않을 그 동반자를 매우 외롭게 한다. 그 동반자는 나를 껴안고 사랑을 느끼게 할 것이다.",love
i feel they are pretty safe on my blog img src http s,나는 그들이 내 블로그에서 꽤 안전하다고 느낀다 img src https.,joy
i feel pretty eager to get it done as i have a fun plan for quilting it,나는 그것을 퀼트하는 재미있는 계획이 있기 때문에 그것을 끝내기를 꽤 열망한다.,joy
i am feeling horny so i ask her that lets go home,나는 흥분해서 그녀에게 집에 가라고 부탁한다.,love
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,나는 시가 나에게 부담을 주지 않는다면 내가 사랑할 수 있는 것보다 더 많이 이해하는 것을 더 많이 느낄 수 있다는 의미에서 불편하지 않다고 생각한다.,fear
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,나도 낯선 땅에서 낯선 사람이 되어 그의 아버지 조상의 집이 아닌 곳에서 내 아들을 키우고 있는 것처럼 느낀다.,surprise
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,나는 그녀가 훌륭하다고 느끼는 것이 무엇인지 궁금해서 샤워실로 떠났다. 그렇게 환상적인 몸매는 그녀의 움직임에 매우 자신만만하고 우아하다.,joy
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,나는 내 아이들과 밖에서 뛰어다니거나 유모차를 타고 긴 산책을 자주 하는 체육관에 가는 것이 매우 즐겁고 활기차다고 느낀다. 나는 하루에 세 가지 모두를 한다.,joy
i was still feeling strong,나는 여전히 강하게 느끼고 있었다.,joy
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,나는 부자 또한 내가 그에게 그냥 덤벼들지 않고 자신의 공간을 통과해야 한다는 것을 아는 것 같았기 때문에 그것은 눈물이나 다른 어떤 파괴적인 감정이나 생각의 방출을 터뜨리지 않았다.,joy
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,나는 오늘 아침에 호박 향신료 라떼를 사고 싶었지만 그것은 뜨거웠고 내가 마지막으로 원한 것은 뜨거운 커피였다. 아마도 나는 조금 쓴 것 같다.,anger
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,나는 그가 지난 몇 달 동안 그녀의 고통에 대해 약간 회의적이었기 때문에 그가 기분이 나쁘다고 추측한다. 그녀는 과거에 하이퍼콘드리아와 과장 습관을 가지고 있었지만 그것에 대해 공개적으로 질문한 적은 없었다.,fear
i clench to the corners of the bed to feel assured,나는 안정감을 느끼기 위해 침대 모서리를 움켜쥐었다.,joy
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,나는 또한 내가 가진 삶과 그 안에 있는 놀라운 것들에 감사하지 않는 것이 이기적이라고 느낀다.,anger
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,나는 책에서 신을 보았고 신이 그렇게 완전히 긍정적이고 의심의 여지 없이 받아들여지는 것에 대한 올바른 이름이라고 생각했기 때문에 그것을 신이라고 불렀다.,love
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,나는 왜 그런지 모르겠다. 아마도 사무실에 있는 다른 소녀들이 멋진 짧은 머리를 가지고 있었기 때문인지 아니면 아마도 나는 단지 반항심을 느끼고 있었을 것이다.,anger
i do not feel miserable at all because my family is not the type that celebrates eid,우리 가족은 이드를 축하하는 타입이 아니기 때문에 나는 전혀 비참함을 느끼지 않는다.,sadness
i might go get a car wash if i am feeling really generous my car needs it,만약 내가 정말 관대하다고 느낀다면 나는 세차를 하러 갈지도 모른다. 내 차는 그것이 필요하다.,joy
i still feel sleep deprived she is almost sleeping through the night giving us,나는 여전히 잠이 부족하다고 느낀다. 그녀는 거의 밤을 새워 우리에게 주었다.,sadness
i just feel really violent right now,난 그냥 지금 정말 폭력적으로 느껴져.,anger
